RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
355200,5.92,0.0,7632.0
356000,5.933333333333334,0.0,7748.0
356800,5.946666666666666,0.0,7892.0
357600,5.96,0.0,8075.0
358400,5.973333333333334,0.0,8283.0
359200,5.986666666666666,0.0,8516.0
360000,6.0,0.0,8787.0
360800,6.013333333333334,0.0,9047.0
361600,6.026666666666666,0.0,9326.0
362400,6.04,0.0,9591.0
363200,6.053333333333334,0.0,9798.0
364000,6.066666666666666,0.0,9979.0
364800,6.08,0.0,10090.0
365600,6.093333333333334,0.0,10150.0
366400,6.1066666666666665,0.0,10155.0
367200,6.12,0.0,10110.0
368000,6.133333333333334,0.0,10055.0
368800,6.1466666666666665,0.0,9972.0
369600,6.16,0.0,9922.0
370400,6.173333333333333,0.0,9920.0
371200,6.1866666666666665,0.0,9982.0
372000,6.2,0.0,10138.0
372800,6.213333333333333,0.0,10420.0
373600,6.226666666666667,0.0,10827.0
374400,6.24,0.0,11341.0
375200,6.253333333333333,0.0,11970.0
376000,6.266666666666667,0.0,12648.0
376800,6.28,0.0,13356.0
377600,6.293333333333333,0.0,14078.0
378400,6.306666666666667,0.0,14809.0
379200,6.32,0.0,15543.0
380000,6.333333333333333,0.0,16258.0
380800,6.346666666666667,0.0,16935.0
381600,6.36,0.0,17563.0
382400,6.373333333333333,0.0,18140.0
383200,6.386666666666667,0.0,18689.0
384000,6.4,0.0,19192.0
384800,6.413333333333333,0.0,19629.0
385600,6.426666666666667,0.0,19968.0
386400,6.44,0.0,20151.0
387200,6.453333333333333,0.0,20192.0
388000,6.466666666666667,0.0,20061.0
388800,6.48,0.0,19774.0
389600,6.493333333333333,0.0,19341.0
390400,6.506666666666667,0.0,18783.0
391200,6.52,0.0,18142.0
392000,6.533333333333333,0.0,17440.0
392800,6.546666666666667,0.0,16739.0
393600,6.56,0.0,16050.0
394400,6.573333333333333,0.0,15377.0
395200,6.586666666666667,0.0,14767.0
396000,6.6,0.0,14218.0
396800,6.613333333333333,0.0,13748.0
397600,6.626666666666667,0.0,13385.0
398400,6.64,0.0,13094.0
399200,6.653333333333333,0.0,12872.0
400000,6.666666666666667,0.0,12699.0
400800,6.68,0.0,12560.0
401600,6.693333333333333,0.0,12478.0
402400,6.706666666666667,0.0,12451.0
403200,6.72,0.0,12474.0
404000,6.733333333333333,0.0,12542.0
404800,6.746666666666667,0.0,12642.0
405600,6.76,0.0,12754.0
406400,6.773333333333333,0.0,12891.0
407200,6.786666666666667,0.0,13047.0
408000,6.8,0.0,13213.0
408800,6.8133333333333335,0.0,13414.0
409600,6.826666666666667,0.0,13640.0
410400,6.84,0.0,13863.0
411200,6.8533333333333335,0.0,14123.0
412000,6.866666666666666,0.0,14370.0
412800,6.88,0.0,14614.0
413600,6.8933333333333335,0.0,14881.0
414400,6.906666666666666,0.0,15124.0
415200,6.92,0.0,15352.0
416000,6.933333333333334,0.0,15547.0
416800,6.946666666666666,0.0,15726.0
417600,6.96,0.0,15863.0
418400,6.973333333333334,0.0,15965.0
419200,6.986666666666666,0.0,16032.0
420000,7.0,0.0,16045.0
420800,7.013333333333334,0.0,15994.0
421600,7.026666666666666,0.0,15911.0
422400,7.04,0.0,15785.0
423200,7.053333333333334,0.0,15622.0
424000,7.066666666666666,0.0,15441.0
424800,7.08,0.0,15232.0
425600,7.093333333333334,0.0,15004.0
426400,7.1066666666666665,0.0,14732.0
427200,7.12,0.0,14468.0
428000,7.133333333333334,0.0,14195.0
428800,7.1466666666666665,0.0,13906.0
429600,7.16,0.0,13664.0
430400,7.173333333333333,0.0,13435.0
431200,7.1866666666666665,0.0,13225.0
432000,7.2,0.0,13075.0
432800,7.213333333333333,0.0,12944.0
433600,7.226666666666667,0.0,12872.0
434400,7.24,0.0,12870.0
435200,7.253333333333333,0.0,12959.0
436000,7.266666666666667,0.0,13160.0
436800,7.28,0.0,13498.0
437600,7.293333333333333,0.0,13992.0
438400,7.306666666666667,0.0,14683.0
439200,7.32,0.0,15599.0
440000,7.333333333333333,0.0,16762.0
440800,7.346666666666667,0.0,18222.0
441600,7.36,0.0,19967.0
442400,7.373333333333333,0.0,22053.0
443200,7.386666666666667,0.0,24478.0
444000,7.4,0.0,27259.0
444800,7.413333333333333,0.0,30387.0
445600,7.426666666666667,0.0,33805.0
446400,7.44,0.0,37489.0
447200,7.453333333333333,0.0,41376.0
448000,7.466666666666667,0.0,45424.0
448800,7.48,0.0,49557.0
449600,7.493333333333333,0.0,53677.0
450400,7.506666666666667,0.0,57665.0
451200,7.52,0.0,61409.0
452000,7.533333333333333,0.0,64782.0
452800,7.546666666666667,0.0,67678.0
453600,7.56,0.0,70009.0
454400,7.573333333333333,0.0,71646.0
455200,7.586666666666667,0.0,72532.0
456000,7.6,0.0,72586.0
456800,7.613333333333333,0.0,71745.0
457600,7.626666666666667,0.0,70051.0
458400,7.64,0.0,67551.0
459200,7.653333333333333,0.0,64317.0
460000,7.666666666666667,0.0,60489.0
460800,7.68,0.0,56197.0
461600,7.693333333333333,0.0,51647.0
462400,7.706666666666667,0.0,46988.0
463200,7.72,0.0,42400.0
464000,7.733333333333333,0.0,38013.0
464800,7.746666666666667,0.0,33865.0
465600,7.76,0.0,30072.0
466400,7.773333333333333,0.0,26654.0
467200,7.786666666666667,0.0,23610.0
468000,7.8,0.0,20971.0
468800,7.8133333333333335,0.0,18691.0
469600,7.826666666666667,0.0,16765.0
470400,7.84,0.0,15155.0
471200,7.8533333333333335,0.0,13803.0
472000,7.866666666666666,0.0,12696.0
472800,7.88,0.0,11771.0
473600,7.8933333333333335,0.0,10990.0
474400,7.906666666666666,0.0,10341.0
475200,7.92,0.0,9805.0
476000,7.933333333333334,0.0,9344.0
476800,7.946666666666666,0.0,8979.0
477600,7.96,0.0,8676.0
478400,7.973333333333334,0.0,8403.0
479200,7.986666666666666,0.0,8186.0
480000,8.0,0.0,7994.0
480800,8.013333333333334,0.0,7815.0
481600,8.026666666666667,0.0,7659.0
482400,8.04,0.0,7509.0
483200,8.053333333333333,0.0,7385.0
484000,8.066666666666666,0.0,7295.0
484800,8.08,0.0,7227.0
485600,8.093333333333334,0.0,7181.0
486400,8.106666666666667,0.0,7119.0
487200,8.12,0.0,7072.0
488000,8.133333333333333,0.0,7009.0
488800,8.146666666666667,0.0,6937.0
489600,8.16,0.0,6877.0
490400,8.173333333333334,0.0,6803.0
491200,8.186666666666667,0.0,6729.0
492000,8.2,0.0,6640.0
492800,8.213333333333333,0.0,6529.0
493600,8.226666666666667,0.0,6414.0
494400,8.24,0.0,6283.0
495200,8.253333333333334,0.0,6116.0
496000,8.266666666666667,0.0,5956.0
496800,8.28,0.0,5773.0
497600,8.293333333333333,0.0,5585.0
498400,8.306666666666667,0.0,5427.0
499200,8.32,0.0,5262.0
500000,8.333333333333334,0.0,5093.0
500800,8.346666666666666,0.0,4946.0
501600,8.36,0.0,4818.0
502400,8.373333333333333,0.0,4703.0
503200,8.386666666666667,0.0,4636.0
504000,8.4,0.0,4599.0
504800,8.413333333333334,0.0,4584.0
505600,8.426666666666666,0.0,4586.0
506400,8.44,0.0,4602.0
507200,8.453333333333333,0.0,4649.0
508000,8.466666666666667,0.0,4732.0
508800,8.48,0.0,4881.0
509600,8.493333333333334,0.0,5058.0
510400,8.506666666666666,0.0,5251.0
511200,8.52,0.0,5481.0
512000,8.533333333333333,0.0,5712.0
512800,8.546666666666667,0.0,5970.0
513600,8.56,0.0,6257.0
514400,8.573333333333334,0.0,6550.0
515200,8.586666666666666,0.0,6857.0
516000,8.6,0.0,7155.0
516800,8.613333333333333,0.0,7441.0
517600,8.626666666666667,0.0,7709.0
518400,8.64,0.0,7946.0
519200,8.653333333333334,0.0,8154.0
520000,8.666666666666666,0.0,8323.0
520800,8.68,0.0,8454.0
